row_index,true_abusive,prob_abusive,pred_abusive,true_Race,prob_Race,pred_Race,true_Religion,prob_Religion,pred_Religion,true_Gender,prob_Gender,pred_Gender,true_Sexual_Orientation,prob_Sexual_Orientation,pred_Sexual_Orientation,true_Miscellaneous,prob_Miscellaneous,pred_Miscellaneous
0,1,0.5377154203907253,1,0,0.4620116811755084,0,1,0.5725431025118582,1,0,0.49765441504921426,1,0,0.38680211741098847,0,0,0.4726832147739356,0
1,1,0.43182287128115077,0,0,0.49491098404482475,1,0,0.4253283036016291,0,0,0.42123857473525433,0,0,0.3338736352969064,0,1,0.4548262804341,0
2,1,0.4798747201912845,1,0,0.2618154650127457,0,0,0.24309759249897245,0,0,0.42357847870721815,0,1,0.4847735379009415,1,1,0.479273485508924,0
3,1,0.6251682571430279,1,0,0.30299021589036945,0,0,0.301129970826225,0,1,0.45998715872502843,0,1,0.6575971004567424,1,1,0.5886520160066865,1
4,1,0.5096414406448772,1,1,0.5366349004516325,1,0,0.4234085502052261,0,0,0.4920817311685124,1,1,0.36510151954138986,0,0,0.5954627120827625,1
5,1,0.43475276587727985,0,0,0.3837149994348577,0,0,0.2705549776836347,0,1,0.6250985697503636,1,0,0.3551404914531824,0,0,0.3485753678329309,0
6,0,0.3371533082117773,0,0,0.30731214961324677,0,0,0.3138406731090389,0,0,0.39291871748513124,0,0,0.5248197815634794,1,0,0.36107590078912444,0
7,0,0.42171528661664914,0,0,0.35550724839865216,0,0,0.38749268452708696,0,0,0.5545442840008986,1,0,0.33484640725910003,0,0,0.37675560178115125,0
8,0,0.37863793547838076,0,0,0.20918570037873505,0,0,0.274832673761531,0,0,0.2861537250209946,0,0,0.2112428180448551,0,1,0.7937921941464294,1
9,1,0.5263661536710056,1,0,0.4378956465302078,0,0,0.4032020013864483,0,1,0.4651095371672381,0,0,0.4287141418666245,0,0,0.40588791006574426,0
10,1,0.46021032050840305,0,0,0.4014374560615435,0,0,0.264988944009079,0,0,0.3652365359726907,0,0,0.14264977080339988,0,1,0.5798606371048078,1
11,1,0.6678771791133178,1,0,0.29807686397201005,0,1,0.6454547554085601,1,1,0.34477598932551146,0,0,0.3955913412964554,0,0,0.3469979130835456,0
12,0,0.5880030400237257,1,0,0.4134820531121008,0,0,0.3734909446628692,0,0,0.44839715974824335,0,0,0.8128741265109669,1,0,0.42248944284097806,0
13,0,0.4218733495589818,0,0,0.34516647487568586,0,0,0.332932569892069,0,0,0.4047145214016841,0,0,0.28196614669989956,0,0,0.6691734465253315,1
14,0,0.4790414061078194,1,0,0.38510365036930727,0,0,0.42949901975507176,0,0,0.3068034927212571,0,0,0.18604915332187788,0,0,0.6173098770817101,1
15,1,0.7287756014754821,1,1,0.81987644108834,1,0,0.42075358478199104,0,0,0.3934992271414819,0,0,0.28055372277964274,0,0,0.5047936645274732,1
16,1,0.4968867993424233,1,1,0.6715961730643202,1,0,0.49759814323877394,1,0,0.3463401958892026,0,0,0.31266783356238065,0,0,0.4590239081871894,0
17,1,0.48964046678003226,1,0,0.32150445135224504,0,0,0.33762913106763076,0,0,0.5590258932723153,1,0,0.7517976940950062,1,0,0.539578717196234,1
18,1,0.48923677978761254,1,1,0.43206088450049895,0,1,0.6528977482434506,1,1,0.4164384716883121,0,0,0.27475976062442853,0,1,0.5288693118089947,1
19,1,0.6961613826022001,1,0,0.32112124352393145,0,1,0.6861849269558886,1,0,0.38124410771515355,0,0,0.443919096762794,0,0,0.3736987628336369,0
20,1,0.5654136099696471,1,0,0.5256071127504619,1,1,0.6572265144860641,1,0,0.40269750251492126,0,0,0.2580927051225025,0,1,0.48617583249337937,0
